country_iso3,year,oil_rents_pct_gdp,total_natural_resource_rents_pct_gdp,fuel_exports_pct_merch_exports,ores_and_metals_exports_pct_merch_exports,gdp_current_usd,gdp_growth_pct,gdp_growth_5yr_avg,gdp_growth_1,gdp_growth_2,gdp_growth_3,fuel_exports_pct_1,fuel_exports_pct_2,fuel_exports_pct_3
VEN,1960,4.79927244945126,5.48772130601331,92.3629279351709,0.180690478647573,7663938303.07171,3.19251943889351,,,,,,,
VEN,1961,4.79927244945126,5.48772130601331,92.3629279351709,0.180690478647573,8067267030.61862,3.19251943889351,,3.19251943889351,,,92.3629279351709,,
VEN,1962,4.79927244945126,5.48772130601331,92.3629279351709,0.180690478647573,8814309884.21165,8.53293376290748,,3.19251943889351,3.19251943889351,,92.3629279351709,92.3629279351709,
VEN,1963,4.79927244945126,5.48772130601331,92.9111895427033,3.76672119170157,9608717288.17057,3.90095116381761,,8.53293376290748,3.19251943889351,3.19251943889351,92.3629279351709,92.3629279351709,92.3629279351709
VEN,1964,4.79927244945126,5.48772130601331,91.0995448082283,5.87164970374326,8192413793.10345,11.1293452932631,5.989653819555042,3.90095116381761,8.53293376290748,3.19251943889351,92.9111895427033,92.3629279351709,92.3629279351709
VEN,1965,4.79927244945126,5.48772130601331,92.5185567156205,4.6596531793633,8427777777.77778,4.16286666476383,6.183723264729106,11.1293452932631,3.90095116381761,8.53293376290748,91.0995448082283,92.9111895427033,92.3629279351709
VEN,1966,4.79927244945126,5.48772130601331,93.4011576320389,4.96447157842293,8781333333.33333,1.51025011101866,5.847269399154135,4.16286666476383,11.1293452932631,3.90095116381761,92.5185567156205,91.0995448082283,92.9111895427033
VEN,1967,4.79927244945126,5.48772130601331,93.4213440140314,4.35139600234646,9250000000.0,2.83386903098939,4.707456452770518,1.51025011101866,4.16286666476383,11.1293452932631,93.4011576320389,92.5185567156205,91.0995448082283
VEN,1968,4.79927244945126,5.48772130601331,93.4616531067943,4.12701347839794,10034444444.4444,7.33723265821627,5.39471275165025,2.83386903098939,1.51025011101866,4.16286666476383,93.4213440140314,93.4011576320389,92.5185567156205
VEN,1969,4.79927244945126,5.48772130601331,92.35925258221,5.03554042630553,10285111111.1111,0.706036796156368,3.3100510522289035,7.33723265821627,2.83386903098939,1.51025011101866,93.4616531067943,93.4213440140314,93.4011576320389
VEN,1970,4.79927244945126,5.48772130601331,91.0159714248327,5.80784544796093,11561111111.1111,7.71191438124387,4.0198605955249125,0.706036796156368,7.33723265821627,2.83386903098939,92.35925258221,93.4616531067943,93.4213440140314
VEN,1971,6.78719222962612,7.38794104909662,91.5238450151192,5.50373167972084,12986590909.0909,1.47929120998987,4.0136688153191535,7.71191438124387,0.706036796156368,7.33723265821627,91.0159714248327,92.35925258221,93.4616531067943
VEN,1972,6.69174635347221,7.19271915747182,90.5740424938746,5.0327125265331,13977727272.7273,1.28280503619366,3.7034560163600077,1.47929120998987,7.71191438124387,0.706036796156368,91.5238450151192,91.0159714248327,92.35925258221
VEN,1973,10.2866739191916,10.7554427076038,93.0898064449265,4.35479132791224,17035581395.3488,7.10995789495608,3.6580010637079696,1.28280503619366,1.47929120998987,7.71191438124387,90.5740424938746,91.5238450151192,91.0159714248327
VEN,1974,33.3402278252986,33.9478841729493,95.1307868601858,2.8734857009038,26100930232.5581,2.06933320169247,3.93066034481519,7.10995789495608,1.28280503619366,1.47929120998987,93.0898064449265,90.5740424938746,91.5238450151192
VEN,1975,24.0233622156042,24.8915014056924,94.640486168019,3.3594015143054,27464651162.7907,2.89625778007183,2.967529024580782,2.06933320169247,7.10995789495608,1.28280503619366,95.1307868601858,93.0898064449265,90.5740424938746
VEN,1976,22.1509399998971,22.9931513860828,93.8272821162325,3.63174325863264,31419534883.7209,7.72773984679837,4.217218751942482,2.89625778007183,2.06933320169247,7.10995789495608,94.640486168019,95.1307868601858,93.0898064449265
VEN,1977,15.7438348333444,16.1985343555775,92.611057457657,4.9375377453672,36210697674.4186,6.27078351298829,5.214814447301409,7.72773984679837,2.89625778007183,2.06933320169247,93.8272821162325,94.640486168019,95.1307868601858
VEN,1978,15.4615217950232,15.8263995123574,94.4678736341477,2.88739329714763,39316279069.7674,2.34689637191248,4.262202142692688,6.27078351298829,7.72773984679837,2.89625778007183,92.611057457657,93.8272821162325,94.640486168019
VEN,1979,35.9005908031082,36.481380981255,92.7633174683121,4.92305870936454,48310930232.5581,0.764355145425426,4.001206531439279,2.34689637191248,6.27078351298829,7.72773984679837,94.4678736341477,92.611057457657,93.8272821162325
VEN,1980,33.5669317799093,34.4312946645093,94.0132950841181,3.88540535800573,59116511627.907,-4.42132236441782,2.5376905025413494,0.764355145425426,2.34689637191248,6.27078351298829,92.7633174683121,94.4678736341477,92.611057457657
VEN,1981,24.1805766481041,24.750858904318,92.8470828736878,4.31039399328237,66327441860.4651,-1.28832143395154,0.734478246391367,-4.42132236441782,0.764355145425426,2.34689637191248,94.0132950841181,92.7633174683121,94.4678736341477
VEN,1982,12.7185086495916,13.1086608763643,94.9870259876472,2.34829320289717,67736744186.0465,2.64479628533559,0.00928080086082712,-1.28832143395154,-4.42132236441782,0.764355145425426,92.8470828736878,94.0132950841181,92.7633174683121
VEN,1983,16.5476906655835,17.0995109701258,95.4270089483389,2.29790929669019,67556279069.7674,-9.8555302269491,-2.4312045189114886,2.64479628533559,-1.28832143395154,-4.42132236441782,94.9870259876472,92.8470828736878,94.0132950841181
VEN,1984,18.3191498331889,19.0260300794035,93.1300299355276,2.36445054175413,59867743467.9335,5.22290283259414,-1.539494981477746,-9.8555302269491,2.64479628533559,-1.28832143395154,95.4270089483389,94.9870259876472,92.8470828736878
VEN,1985,15.6094632774951,16.3107385078032,79.9671112777283,6.77495873277036,61965466666.6667,0.867445543503692,-0.48174139989344356,5.22290283259414,-9.8555302269491,2.64479628533559,93.1300299355276,95.4270089483389,94.9870259876472
VEN,1986,7.36089191172372,8.00102414924425,84.0617359322362,5.06845679340767,60516123711.3402,6.07980818844057,0.9918845245849784,0.867445543503692,5.22290283259414,-9.8555302269491,79.9671112777283,93.1300299355276,95.4270089483389
VEN,1987,15.2245976568424,15.9166311155573,87.1351581271011,5.02195163942421,48029034482.7586,4.80107391677578,1.4231400508730165,6.07980818844057,0.867445543503692,5.22290283259414,84.0617359322362,79.9671112777283,93.1300299355276
VEN,1988,9.50512761197021,10.0130859589153,84.77737059856601,5.805371814880333,60226413793.1035,6.51035577626698,4.696317251516232,4.80107391677578,6.07980818844057,0.867445543503692,87.1351581271011,84.0617359322362,79.9671112777283
VEN,1989,20.0333515379632,20.9626504331607,82.4195830700309,6.588791990336457,43536709104.0115,-13.9197067893711,0.8677953271231846,6.51035577626698,4.80107391677578,6.07980818844057,84.77737059856601,87.1351581271011,84.0617359322362
VEN,1990,28.0600250559547,29.2548511239111,80.0617955414958,7.37221216579258,48606952194.7752,6.4678522746499,1.9878766733524258,-13.9197067893711,6.51035577626698,4.80107391677578,82.4195830700309,84.77737059856601,87.1351581271011
VEN,1991,15.6286717350987,16.6639894189064,80.8505449922492,7.69936529436233,53453444786.6256,9.72990963006499,2.7178969616773103,6.4678522746499,-13.9197067893711,6.51035577626698,80.0617955414958,82.4195830700309,84.77737059856601
VEN,1992,14.935095280643,15.7571776112482,79.9198010311707,6.76270380019404,60416519620.0849,6.06034937385407,2.969752053092968,9.72990963006499,6.4678522746499,-13.9197067893711,80.8505449922492,80.0617955414958,82.4195830700309
VEN,1993,14.9699327410478,15.7932181812518,77.6086498419481,5.37565069801416,60037460783.1941,0.275410410462172,1.7227629799320063,6.06034937385407,9.72990963006499,6.4678522746499,79.9198010311707,80.8505449922492,80.0617955414958
VEN,1994,15.3866042080656,16.2198265911409,75.9427778042581,5.89376749826447,58418666666.6667,-2.34933212064234,4.036837913677759,0.275410410462172,6.06034937385407,9.72990963006499,77.6086498419481,79.9198010311707,80.8505449922492
VEN,1995,14.5559545074645,15.1363210095652,76.2539922437174,6.55661930202742,77389487770.0883,3.95160929610903,3.5335893179695845,-2.34933212064234,0.275410410462172,6.06034937385407,75.9427778042581,77.6086498419481,79.9198010311707
VEN,1996,23.0648781099677,23.8367720643582,80.7622668694753,4.49239975846932,70543211119.099,-0.197928583722387,1.5480216752121092,3.95160929610903,-2.34933212064234,0.275410410462172,76.2539922437174,75.9427778042581,77.6086498419481
VEN,1997,17.5046486685088,18.0963540802062,78.9184411868888,4.8056482307645,85837678559.8324,6.37100504679063,1.610152809799421,-0.197928583722387,3.95160929610903,-2.34933212064234,80.7622668694753,76.2539922437174,75.9427778042581
VEN,1998,8.57137562243914,9.06347009522954,70.6379310406942,5.85597575442254,91336763255.0597,0.294055160519548,1.6138817598108965,6.37100504679063,-0.197928583722387,3.95160929610903,78.9184411868888,80.7622668694753,76.2539922437174
VEN,1999,12.8387638257711,13.269532614572,81.403534775883,4.26300133966284,97972842461.5131,-5.97045814641012,0.8896565546573404,0.294055160519548,6.37100504679063,-0.197928583722387,70.6379310406942,78.9184411868888,80.7622668694753
VEN,2000,20.0011569684281,20.5761295010598,86.0857594456901,3.33227544879703,117146466002.661,3.6869441668769,0.8367235288109145,-5.97045814641012,0.294055160519548,6.37100504679063,81.403534775883,70.6379310406942,78.9184411868888
VEN,2001,14.809781275052,15.3442903568827,83.0445636085282,3.98947482607954,122911036746.729,3.39423610779077,1.5551564671135458,3.6869441668769,-5.97045814641012,0.294055160519548,86.0857594456901,81.403534775883,70.6379310406942
VEN,2002,18.7480489712018,19.4545884689745,80.1191539247763,4.35033958431729,92893587733.6549,-8.85564735286771,-1.490174012818122,3.39423610779077,3.6869441668769,-5.97045814641012,83.0445636085282,86.0857594456901,81.403534775883
VEN,2003,21.1779581221907,21.8955843439596,82.2427109948815,4.08245262236796,83620628582.1082,-7.75530004959877,-3.1000450548417855,-8.85564735286771,3.39423610779077,3.6869441668769,80.1191539247763,83.0445636085282,86.0857594456901
VEN,2004,23.0890395880635,23.8297115705399,83.4198338154401,3.21971376759069,112451400424.964,18.2866066891244,1.7513679122651187,-7.75530004959877,-8.85564735286771,3.39423610779077,82.2427109948815,80.1191539247763,83.0445636085282
VEN,2005,28.0538745861065,29.2230041014033,87.8247886816393,2.32505838590638,145513489651.872,10.3179138043147,3.0775618397526783,18.2866066891244,-7.75530004959877,-8.85564735286771,83.4198338154401,82.2427109948815,80.1191539247763
VEN,2006,26.8186567625884,28.0774680117788,92.5603892681709,2.08818528782387,183477522123.894,9.87214910851037,4.373144439896599,10.3179138043147,18.2866066891244,-7.75530004959877,87.8247886816393,83.4198338154401,82.2427109948815
VEN,2007,21.6186473049421,23.1186941835454,93.15164049347115,1.986396916774865,230364012575.687,8.75357880785845,7.894989672041831,9.87214910851037,10.3179138043147,18.2866066891244,92.5603892681709,87.8247886816393,83.4198338154401
VEN,2008,22.6737847784336,23.9223070628002,93.7428917187714,1.88460854572586,315953388510.678,5.27785412398785,10.501620506759156,8.75357880785845,9.87214910851037,10.3179138043147,93.15164049347115,92.5603892681709,87.8247886816393
VEN,2009,9.95847654408777,10.5416668243022,95.8996773647734,1.20638690168558,329787628928.472,-3.20230265749002,6.20383863743627,5.27785412398785,8.75357880785845,9.87214910851037,93.7428917187714,93.15164049347115,92.5603892681709
VEN,2010,11.6928975467648,12.380878328857,93.3969113313162,2.3573078829314,393192354510.653,-1.48879125078356,3.8424976264166184,-3.20230265749002,5.27785412398785,8.75357880785845,95.8996773647734,93.7428917187714,93.15164049347115
VEN,2011,23.1450195251423,24.4753357613612,67.1966073193092,0.891443496040358,316482190800.364,4.17642535923936,2.703352876562416,-1.48879125078356,-3.20230265749002,5.27785412398785,93.3969113313162,95.8996773647734,93.7428917187714
VEN,2012,17.9387823718967,18.7812359044725,98.7637309978349,0.0460182045396548,372592062768.06,5.62595697508632,2.0778285100079903,4.17642535923936,-1.48879125078356,-3.20230265749002,67.1966073193092,93.3969113313162,95.8996773647734
VEN,2013,16.7771388276982,17.6253449138361,97.6778068113493,0.441779842959862,258930655486.37,1.34309403607486,1.2908764924253924,5.62595697508632,4.17642535923936,-1.48879125078356,98.7637309978349,67.1966073193092,93.3969113313162
VEN,2014,11.3021511747501,11.8465082797294,97.6778068113493,0.441779842959862,214689614732.719,-3.89438647450667,1.1524597290220622,1.34309403607486,5.62595697508632,4.17642535923936,97.6778068113493,98.7637309978349,67.1966073193092
VEN,2015,11.3021511747501,11.8465082797294,97.6778068113493,0.441779842959862,125449241571.391,-6.22137102671199,0.20594377383637621,-3.89438647450667,1.34309403607486,5.62595697508632,97.6778068113493,97.6778068113493,98.7637309978349
VEN,2016,11.3021511747501,11.8465082797294,97.6778068113493,0.441779842959862,112915034262.314,-17.0403345996548,-4.037408217942455,-6.22137102671199,-3.89438647450667,1.34309403607486,97.6778068113493,97.6778068113493,97.6778068113493
VEN,2017,11.3021511747501,11.8465082797294,97.6778068113493,0.441779842959862,115883275162.586,-15.6714088720003,-8.296881387359779,-17.0403345996548,-6.22137102671199,-3.89438647450667,97.6778068113493,97.6778068113493,97.6778068113493
VEN,2018,11.3021511747501,11.8465082797294,97.6778068113493,0.441779842959862,102021093964.682,-19.6553415972227,-12.496568514019291,-15.6714088720003,-17.0403345996548,-6.22137102671199,97.6778068113493,97.6778068113493,97.6778068113493
VEN,2019,11.3021511747501,11.8465082797294,97.6778068113493,0.441779842959862,73014084091.3,-27.6579678662627,-17.249284792370496,-19.6553415972227,-15.6714088720003,-17.0403345996548,97.6778068113493,97.6778068113493,97.6778068113493
VEN,2020,11.3021511747501,11.8465082797294,97.6778068113493,0.441779842959862,42838020721.1995,-29.9985699155957,-22.00472457014724,-27.6579678662627,-19.6553415972227,-15.6714088720003,97.6778068113493,97.6778068113493,97.6778068113493
VEN,2021,11.3021511747501,11.8465082797294,97.6778068113493,0.441779842959862,56614976854.5499,0.955433428579269,-18.405570964500427,-29.9985699155957,-27.6579678662627,-19.6553415972227,97.6778068113493,97.6778068113493,97.6778068113493
VEN,2022,11.3021511747501,11.8465082797294,97.6778068113493,0.441779842959862,89013255584.7499,8.00091310654791,-13.671106568790785,0.955433428579269,-29.9985699155957,-27.6579678662627,97.6778068113493,97.6778068113493,97.6778068113493
VEN,2023,11.3021511747501,11.8465082797294,97.6778068113493,0.441779842959862,102376526555.948,4.00168591128376,-8.939701067089493,8.00091310654791,0.955433428579269,-29.9985699155957,97.6778068113493,97.6778068113493,97.6778068113493
VEN,2024,11.3021511747501,11.8465082797294,97.6778068113493,0.441779842959862,119802963257.783,5.29999999999984,-2.3481074938369835,4.00168591128376,8.00091310654791,0.955433428579269,97.6778068113493,97.6778068113493,97.6778068113493
